finess,rs,champ_pmsi,taa,cat,taille_MCO,taille_M,taille_C,taille_O,A7,A8,A9,A10,A11,A12,A13,A14,A15,F1_D,F1_O,F2_D,F2_O,F3_D,F3_O,F4_D,F4_O,F5_D,F5_O,F6_D,F6_O,F7_D,F7_O,F8_D,F8_O,F9_D,F9_O,F10_D,F10_O,F11_D,F11_O,F12_D,F12_O,P1,P2,P3,P4,P5,P6,P7,P8,P8new,P9,P10,P11,P12,P13,P14,P15,P16,RH1,RH2,RH3,RH4,RH5,RH6,RH8,RH9,RH10,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,CI_AC1,CI_AC2,CI_AC3,CI_AC4,CI_AC5,CI_AC6,CI_AC7,CI_AC8,CI_AC9,CI_A1,CI_A2,CI_A3,CI_A4,CI_A5,CI_A6,CI_A7,CI_A8,CI_A9,CI_A10,CI_A11,CI_A12,CI_A13,CI_A14,CI_A15,CI_A16_1,CI_A16_2,CI_A16_3,CI_A16_4,CI_A16_5,CI_A16_6,CI_A17_1,CI_A17_2,CI_A17_3,CI_A17_4,CI_A17_5,CI_A18_1,CI_A18_2,CI_A18_3,CI_A18_4,CI_A18_5,CI_E1,CI_E2,CI_E3,CI_E4,CI_E4_V2,CI_E5,CI_E6,CI_E7,CI_E7_V2,CI_F1_D,CI_F1_O,CI_F2_D,CI_F2_O,CI_F3_D,CI_F3_O,CI_F4_D,CI_F4_O,CI_F5_D,CI_F5_O,CI_F6_D,CI_F6_O,CI_F7_D,CI_F7_O,CI_F8_D,CI_F8_O,CI_F9_D,CI_F9_O,CI_F10_D,CI_F10_O,CI_F11_D,CI_F11_O,CI_F12_D,CI_F12_O,CI_F13_D,CI_F13_O,CI_F14_D,CI_F14_O,CI_F15_D,CI_F15_O,CI_F16_D,CI_F16_O,CI_F17_D,CI_F17_O,CI_RH1,CI_RH2,CI_RH3,CI_RH4,CI_RH5,CI_RH6,CI_RH7,CI_RH8,CI_RH9,CI_RH10,CI_RH11,CI_DF1,CI_DF2,CI_DF3,CI_DF4,CI_DF5
010007300,CLINIQUE AMBULATOIRE CENDANEG,OQN,TAA,CLI,T1,M1,C1,,                                      .c,           0,           0,                                      .z,                                      .z,,,,,,"        21,6",,"        18,7",,         100,,           0,,           0,,,,"        70,5",,,,"       -36,4",,"       127,5",,"        14,9",,"        29,5",,,,                                      .z,                                      .z,                                      .z,                                      .z,,,         108,,,         100,         100,"         0,2",,,,           0,,,,,                                      .z,                                      .z,                                      .z,82,,,,,,,,,,,,,,,,,           2,,,           0,           0,           0,        1301,           1,           0,           0,           0,           0,           0,           0,           1,,        1302,           3,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Endoscopies digestives avec ou sans anesthésie : 871,Endoscopies digestives thérapeutiques et anesthésie : sé : 379,"Autres séj. sans acte, avec anesthésie, en ambulatoire : 20",Explorations et surveillance pour affections myéloprolif : 18,"Autres Maladies immunitaires, du Sang, des Organes hémat : 3",Cataractes : 0,Greffes peau / parages hors brûlures : 0,Chirurgie inter spécialités : 0,Autres chirurgies ophtalmo : 0,Chirurgies ophtalmo lourdes : 0,,,,,,           1,,,,,      509513,,      278776,,           0,,           0,,           0,,,,      399603,,                                      .z,,       53553,,                                      .z,,       95961,,      336348,,         115,,      139623,,      -39817,,      179441,,"      0,9712","         1,8","         0,4",,"         1,4",,"        3,66","        1,38","        2,28",,,,,,,,
010007987,CH HAUTEVILLE-LOMPNES,DGF,TAA,CH,T1,M1,C0,,                                      .c,"        5,03","       12,58",                                      .z,                                      .z,           0,"        67,2",,,"         8,1",,"         6,6",,"        70,6",,"         3,6",,          23,,"         3,2",,"        78,9",,"        38,8",,"        45,9",,"        71,6",,"        69,9",,"        95,1",,"       1,684","       1,837",,           0,           3,"        50,3","        39,5",,,,,,           0,,,,           1,,,,"        20,8",,,,,           0,64,,,,,,,,,,,           9,,,,,,,,,         158,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,,           2,          14,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Toxicomanies et alcoolisme : 0,Soins palliatifs : 30,Signes et symptômes : 6,Explorations nocturnes et apparentées : 41,Prise en charge médicale des tumeurs de l'appareil muscu : 0,"Bronchites, bronchiolites et asthme : 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"        16,9","        14,6",,,,"      416,12","        44,6","      285,51","        4,22","        7,43","       74,36",,,,,
010008407,CH DU HAUT BUGEY,DGF,TAA,CH,T2,M2,C2,O2,                                      .c,"        0,76","        3,97",                                      .z,                                      .z,           0,"        87,7","        79,4","        56,2","         6,9",,"         2,4",,"       -93,7",,"        36,1",,"        63,8",,"         2,3",,          56,,"        17,9",,"        35,9",,"        62,6",,"       130,9",,"        38,7",,           1,"       0,867","       0,931","        29,5","        12,5","        14,5","        22,1",     1064456,,      187335,"       18,95","       43,06","       41,69","       68,11","        60,2","        12,7",,          39,"     18800,2","     79488,2",          21,"         1,3","         3,7",,,           0,67,,,,,,,,,,,          69,,           6,,           7,          26,           8,          21,,        4269,        1481,        1023,        1338,        1059,         307,           0,           0,           0,         120,         765,        2479,       15848,        1043,         101,Chirurgie du sein : 10,Cataracte : 0,Arthroscopie du genou : 199,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 86,affections médicales du nouveau né : 758,Autres gastroentérites et maladies diverses du tube dige : 247,Endoscopies digestives avec ou sans anesthésie : 338,"Infections reins et voies urinaires, lithiases : 152",Cardiologie autres : 168,"Chirurgies main, poignet : 366",Cataractes : 0,Chirurgies majeures orthopédiques (dont hanche et fémur : 184,"Arthroscopies, Biopsies ostéo-articulaires : 191",Chirurgie du membre supérieur (hors prothèses) : 103,           1,,,,,           4,           1,     7185076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"       46,81","       25,93","        6,92","         4,6","         4,2","      485,83","        50,5","      369,28",           2,"       20,75","        43,3",,,,,
010780054,CH BOURG EN BRESSE,DGF,TAA,CH,T3,M4,C3,O4,                                      .c,"        1,98","        7,67",                                      .z,                                      .z,"        44,8","        79,9","        78,4","        61,4","        15,9",,"        15,2",,"        83,9",,"         0,4",,"         8,7",,"         3,8",,"        73,4",,"        46,7",,"        42,5",,          99,,"       118,5",,"        38,5",,"        1,03","        1,01","       1,035",          27,"         8,5",          17,"         9,8",      735002,,      208714,"       20,68","       72,76","       23,68","       37,35",,"         3,6",,          39,       15969,"    124643,1","        14,4","         1,9","         5,7",,,           0,90,,,,,,,,,,,         274,           9,           6,          12,          22,          99,,          56,           4,       13685,        4592,        2461,        3997,        1425,         726,        4345,       16071,        5439,        1307,        2041,        5778,"     20590,5",        2677,         142,Chirurgie du sein : 153,Cataracte : 4,Arthroscopie du genou : 176,Hernie enfant : 1,RTU prostate : 105,Hernie adulte y compris cœlioscopie : 185,affections médicales du nouveau né : 2147,Endoscopies digestives avec ou sans anesthésie : 446,Douleurs chroniques : 126,Infections respiratoires : 594,Cardiologie autres : 541,"Chirurgies main, poignet : 397",Chirurgies majeures orthopédiques (dont hanche et fémur : 411,Chirurgies utérus / annexes : 342,Intervention  peau et tissu sous-cutané : 112,Hernies : 254,           1,           1,,,,           9,           2,    22968809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      139,25","       94,95","        11,2","        10,5","         7,8","     1686,83","      229,73","     1170,29","        8,07","       99,52","      179,22",,,,,
010780062,CH DE BELLEY,DGF,TAA,CH,T2,M2,C2,O2,                                      .c,"        0,69","        6,04",                                      .z,                                      .z,          36,"        71,8",          74,"        65,1","        -1,2",,"        -1,4",,,,,,          23,,           4,,"        67,7",,"        48,3",,"        10,1",,"        29,5",,"       110,7",,"        57,5",,"       1,156","       1,052","       0,947","        31,3","        11,5","        20,6","        19,1",      438670,,      209990,"       18,48","       59,47","       21,06","       47,34",,"         1,6",,          46,"     13635,7","     44633,3","        25,8","         0,8","         1,7",,,"         0,2",79,,,,,,,,,,,          95,,           8,,           5,          36,,          12,,        4233,        1668,         636,         910,         445,         169,         375,           0,           0,          40,         552,        1883,        9948,        1089,         112,Chirurgie du sein : 5,Cataracte : 0,Arthroscopie du genou : 61,Hernie enfant : 1,RTU prostate : 48,Hernie adulte y compris cœlioscopie : 114,affections médicales du nouveau né : 551,Endoscopies digestives avec ou sans anesthésie : 211,"Névroses, psychoses et autres troubles mentaux : 139",Infections respiratoires : 156,"Bronchites, bronchiolites et asthme : 184",Hernies : 146,Chirurgies majeures orthopédiques (dont hanche et fémur : 174,actes ORL et stomato divers : 80,"Chirurgies main, poignet : 134",Cholécystectomies : 100,           1,,,,,           3,           1,     5702708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"       56,55","       29,29","       10,43","         6,7","        4,47","      430,57","       50,13","      319,62","        0,86","       22,96",          37,,,,,
010780096,CH MONTPENSIER TREVOUX,DGF,TAA,CH,T1,M1,C1,,                                      .c,"        1,24","       34,32",                                      .z,                                      .z,           0,"        87,4",,,"        15,4",,"        13,2",,"        77,6",,"         6,1",,"        47,6",,"        26,1",,"        65,5",,"        20,1",,          34,,"        85,8",,"       126,7",,          66,,"       1,271","       1,313",,"        29,4","         8,4","         1,1","        26,9",,,,,,           0,,,"         0,3",,,,,"        24,5",,,,,           0,74,,,,,,,,,,,          31,,,,,,,,,         634,           8,           0,           2,           0,           0,           0,           0,           0,           0,           0,           0,,          30,          26,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Infections respiratoires : 66,Autres affections du système nerveux : 6,Soins palliatifs : 133,"Cardiopathies, valvulopathies : 18","Névroses, psychoses et autres troubles mentaux : 66",Traumatismes du bassin et des membres : 4,"Occlusions, sub-occlusions digestives : 1",Intervention  peau et tissu sous-cutané : 0,Trauma crâniens : 0,"Bronchites, bronchiolites et asthme : 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"         7,4","         6,2",,,,"      218,86","       19,48","      173,34","        1,86","        4,32","       19,86",,,,,
010780195,CLINIQUE CONVERT BOURG-EN-B.,OQN,TAA,CLI,T3,M2,C3,,                                      .c,"        0,26","        2,46",                                      .z,                                      .z,"        20,7","       103,8","        49,5",,,"         9,2",,"         6,8",,         100,,"         0,8",,"        56,2",,,,"        70,9",,"        31,7",,"       -57,7",,"       -27,1",,"        21,8",,"        95,3","       0,864","       0,899","       0,719",                                      .z,                                      .z,                                      .z,                                      .z,,,      314127,,,"        44,4","       62,28",          93,,,           0,"     65104,8","    111600,7","        19,5","         0,2",,                                      .z,                                      .z,                                      .z,77,,,,,,,,,,,          32,,           4,           6,          11,         132,          21,,,        2647,        5382,           6,        4024,        4297,           4,        2417,           0,           0,          84,           0,        7829,        9608,        4161,          83,Chirurgie du sein : 54,Cataracte : 1337,Arthroscopie du genou : 340,Hernie enfant : 2,RTU prostate : 228,Hernie adulte y compris cœlioscopie : 206,Endoscopies digestives avec ou sans anesthésie : 1746,Endoscopies digestives thérapeutiques et anesthésie : sé : 934,Cathétérismes thérapeutiques vasculaires et coronariens : 284,Cathéthérismes diagnostiques vasculaires et coronariens : 247,"Infections reins et voies urinaires, lithiases : 293",Cataractes : 1342,actes ORL et stomato divers : 1408,Chirurgies majeures orthopédiques (dont hanche et fémur : 402,"Amygdalectomies, VG, drains transT : 458","Arthroscopies, Biopsies ostéo-articulaires : 359",,,,,,           8,,     6402868,,,    24462848,,    23644865,,       81647,,           0,,       16045,,,,    22204462,,                                      .z,,     1049035,,                                      .z,,     1689351,,     8811937,,     1385522,,    -1649657,,    -3508009,,     1858353,,"      1,0285","        41,4","        12,2","        16,2","         9,2",           2,"      260,67","       40,03",         196,,"         3,8","       20,84",,,,,
010780203,CLINIQUE MUTUALISTE - AMBERIEU-EN-B.,OQN,TAA,CLI,T2,M2,C2,O3,                                      .c,"        0,21","        1,91",                                      .z,                                      .z,"        21,4","       313,3",          53,"        92,9",,,,,,,,,,,,,,,,,,,,,,,,,"       0,848","        0,89","       0,906",                                      .z,                                      .z,                                      .z,                                      .z,,,      231304,"       18,09","       59,74","       40,97","       62,96","       162,4",,,          66,"     52215,7","    115510,4","        11,3",           1,"         2,9",                                      .z,                                      .z,                                      .z,65,,,,,,,,,,,           4,,           4,,           2,          56,           5,          15,,        2734,        2573,        1188,        2350,        1786,          92,          23,           0,           0,           0,        1028,        3855,       11589,        1847,          83,Chirurgie du sein : 19,Cataracte : 406,Arthroscopie du genou : 95,Hernie enfant : 1,RTU prostate : 38,Hernie adulte y compris cœlioscopie : 87,affections médicales du nouveau né : 1032,Endoscopies digestives avec ou sans anesthésie : 555,Endoscopies digestives thérapeutiques et anesthésie : sé : 382,Explorations et surveillance pour affections endocrinien : 0,Symptômes digestifs : 305,actes ORL et stomato divers : 322,Cataractes : 407,"Amygdalectomies, VG, drains transT : 363","Chirurgies main, poignet : 229",Chirurgies rectum/anus (hors résections) : 145,,,,,,           5,           1,     3144909,,,,,    10803559,,     1014654,,           0,,           0,,         710,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,"       1,004","        31,6","        15,1","         7,3",           3,           4,"      151,33","       31,24","      114,05","         0,5","        2,46","        3,08",,,,,
010780294,CENTRE MÉDICAL DE DIALYSE REGINA,OQN,TAA,CLI,T0,M0,,,                                      .c,,,                                      .z,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,                                      .z,                                      .z,                                      .z,,,,,,,,,,,,,,           8,,,                                      .z,                                      .z,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein,Cataracte,Arthroscopie du genou,Hernie enfant,RTU prostate,Hernie adulte y compris cœlioscopie,"Autres affections reins, voies urinaires : 0","'Insuffisance rénale, avec dialyse : 0",,,,,,,,,,,,,,,,,,,,,     1737265,,           0,,           0,,           0,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,           1,"         5,6",           4,,,,          22,           4,          18,,,,,,,,
020000022,CH DE GUISE,DGF,TAA,CH,T1,M1,C1,,                                      .c,"        4,21","       13,18",                                      .z,                                      .z,           0,"        75,1",,,          10,,"         7,9",,"        62,6",,"         9,8",,          50,,"         6,3",,"        71,1",,"        16,7",,"        41,9",,"       142,8",,"       124,1",,"        32,5",,"       0,839","       1,152",,"        30,5","         9,4","         5,8",          19,,,,,,"       46,94",,,,"         1,7",           0,,        1200,          43,,,,,           0,65,,,,,,,,,,,          28,,,,,,,,,        1070,          26,           0,         162,          23,           1,           0,           0,           0,           0,           0,           2,,          37,          51,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Infections respiratoires : 61,Toxicomanies et alcoolisme : 55,"Névroses, psychoses et autres troubles mentaux : 65",Septicémies : 12,"Cardiopathies, valvulopathies : 34",Traumatismes du bassin et des membres : 23,Trauma crâniens : 3,Intervention  peau et tissu sous-cutané : 10,"Occlusions, sub-occlusions digestives : 4","Bronchites, bronchiolites et asthme : 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"         3,7","         3,5","         0,1",,,"      232,62","       20,93","      184,76","        1,86","        5,21","       19,86",,,,,
020000048,CH GERONTOLOGIQUE,DGF,TAA,CH,T1,M1,C0,,                                      .c,"        0,56","        6,52",                                      .z,                                      .z,           0,"        80,6",,,           5,,"         4,4",,"        71,2",,"         1,4",,"         7,6",,"         5,8",,"        73,5",,"        36,1",,"        38,5",,"        26,8",,"       106,5",,"        50,4",,"       1,307","       1,387",,"        45,3","        12,9","         2,5","        42,5",,,,,,"        8,33",,,"         8,1",,,,           0,"        18,7",,,,,           0,90,,,,,,,,,,,          25,,,,           8,,,,,         472,          11,           0,        1831,           1,           0,           0,           0,           0,           0,           0,           0,,           0,           2,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Rééducation - Convalescence : 1831,Troubles mentaux d'origine organique et retards mentaux : 108,Soins palliatifs : 79,"Névroses, psychoses et autres troubles mentaux : 36",Autres affections du système nerveux : 17,Intervention  peau et tissu sous-cutané : 4,Traumatismes du bassin et des membres : 5,Trauma crâniens : 0,"Bronchites, bronchiolites et asthme : 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"         8,6","         5,1","         1,2",,,"      185,23","       18,06","      144,17",           1,           2,          20,,,,,
