finess,rs,champ_pmsi,taa,cat,taille_MCO,taille_M,taille_C,taille_O,A7,A8,A9,A10,A11,A12,A13,A14,A15,CI_AC1,CI_AC2,CI_AC3,CI_AC4,CI_AC5,CI_AC6,CI_AC7,CI_AC8,CI_AC9,CI_A1,CI_A2,CI_A3,CI_A4,CI_A5,CI_A6,CI_A7,CI_A8,CI_A9,CI_A10,CI_A11,CI_A12,CI_A13,CI_A14,CI_A15,CI_E1,CI_E2,CI_E3,CI_E4,CI_E4_V2,CI_E5,CI_E6,CI_E7,CI_E7_V2,CI_F1_D,CI_F1_O,CI_F2_D,CI_F2_O,CI_F3_D,CI_F3_O,CI_F4_D,CI_F4_O,CI_F5_D,CI_F5_O,CI_F6_D,CI_F6_O,CI_F7_D,CI_F7_O,CI_F8_D,CI_F8_O,CI_F9_D,CI_F9_O,CI_F10_D,CI_F10_O,CI_F11_D,CI_F11_O,CI_F12_D,CI_F12_O,CI_F13_D,CI_F13_O,CI_F14_D,CI_F14_O,CI_F15_D,CI_F15_O,CI_F16_D,CI_F16_O,CI_F17_D,CI_F17_O,CI_A16_1,CI_A16_2,CI_A16_3,CI_A16_4,CI_A16_5,CI_A16_6,CI_A18_1,CI_A18_2,CI_A18_3,CI_A18_4,CI_A18_5,CI_A17_1,CI_A17_2,CI_A17_3,CI_A17_4,CI_A17_5,CI_DF1,CI_DF2,CI_DF3,CI_DF4,CI_DF5,CI_RH1,CI_RH2,CI_RH3,CI_RH4,CI_RH5,CI_RH6,CI_RH7,CI_RH8,CI_RH9,CI_RH10,CI_RH11,F1_D,F1_O,F2_D,F2_O,F3_D,F3_O,F4_D,F4_O,F5_D,F5_O,F6_D,F6_O,F7_D,F7_O,F8_D,F8_O,F9_D,F9_O,F10_D,F10_O,F11_D,F11_O,F12_D,F12_O,P1,P2,P3,P4,P5,P6,P7,P8,P8new,P9,P10,P11,P12,P13,P14,P15,P16,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,RH1,RH2,RH3,RH4,RH5,RH6,RH8,RH9,RH10
010007300,CLINIQUE AMBULATOIRE CENDANEG,OQN,TAA,CLI,T1,M1,C1,,"         9,7",           0,           0,                                      .z,                                      .z,,,,,,,,,,,           2,,,           0,           0,           0,        1479,         432,           0,           0,           0,           0,           0,           0,         432,,        1474,           4,,,,,,           2,,,,,      954282,,      554372,,           0,,           0,,           0,,           0,,      818686,,                                      .z,,       63856,,                                      .z,,      110789,,      360247,,       99830,,       49185,,      -42025,,       91211,,           1,Chirurgie du sein : 0,Cataracte : 309,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Cataractes : 309,Greffes peau / parages hors brûlures : 62,Autres chirurgies ophtalmo : 37,Chirurgie inter spécialités : 7,Chirurgie des tissus mous : 4,Endoscopies digestives avec ou sans anesthésie : 1122,Endoscopies digestives thérapeutiques et anesthésie : sé : 334,"Autres séj. sans acte, avec anesthésie, en ambulatoire : 13",Explorations et surveillance pour affections myéloprolif : 2,"Autres Maladies immunitaires, du Sang, des Organes hémat : 4",,,,,,"         2,4","         0,8","         0,8","         0,8",,"        4,83","        1,88","        2,95",,,,,"        14,2",,"        11,6",,         100,,"         0,9",,"        47,4",,           5,,"        70,7",,,,"       -18,7",,"        21,9",,"         9,4",,"        12,6",,,,                                      .z,                                      .z,                                      .z,                                      .z,                                      .c,,       47574,,,         100,         100,"        98,2",,,72,N. Conc.,N. Conc.,N. Conc.,N. Conc.,92 - [90 - 94],N. Conc.,A,,,A,,"     22364,9","     81473,8",,"         0,7",,                                      .z,                                      .z,                                      .z
010007987,CH HAUTEVILLE-LOMPNES,DGF,TAA,CH,T1,M1,C0,,"        13,9","         0,3","         6,8",                                      .z,                                      .z,"         0,3","        74,5",,,          11,,,,,,,,,         325,          12,           0,           1,           0,           0,           0,           0,           0,           0,           0,           0,,           2,           9,,,,,,,,,,    29646697,,     1186714,,       42262,,           0,,       42262,,    20183284,,    27061124,,     1394572,,      514236,,      283288,,     2388160,,    36077890,,     4710937,,    13574840,,     1612117,,    11962723,,           1,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Trauma crâniens : 1,Intervention  peau et tissu sous-cutané : 1,Ostéomyélites aigües (y compris vertébrales) et arthrite : 2,,,Toxicomanies et alcoolisme : 180,Soins palliatifs : 35,Explorations nocturnes et apparentées : 12,Signes et symptômes : 24,"Cardiopathies, valvulopathies : 5",,,,,,"        15,9","        13,6",,,,"      411,87","       43,41","      289,95","        4,32","        8,75","       65,44","         8,7",,"         7,9",,"        76,2",,           2,,"        13,6",,           1,,"        87,3",,"        49,6",,"        21,7",,"       183,1",,"       108,1",,          43,,"       0,989","       0,907",,"        14,4","         4,7","         6,4","        32,1",                                      .c,,,,,           0,,,,"        -1,2",75,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,C,,,C,,,,"        13,5",,,,,           0
010008407,CH DU HAUT BUGEY,DGF,TAA,CH,T2,M2,C2,O2,"         5,7","        0,69","        7,02",                                      .z,                                      .z,"        59,5","        75,4","        72,7","        48,2",          77,,           6,,           7,          26,           8,          21,,        4586,        1467,         879,        1309,        1233,         254,           0,           0,           0,         133,         706,        2609,       14266,         934,         100,           1,,,,,           4,           1,     5867833,,    45912165,,    24507986,,     3685280,,       64000,,     2552890,,     1677348,,    44248059,,    33317197,,    -3577148,,    -3374248,,     -191599,,    60678204,,    35965442,,     2180821,,      921006,,     1259815,,           1,,Chirurgie du sein : 3,Cataracte : 162,Arthroscopie du genou : 171,Hernie enfant : 1,RTU prostate : 4,Hernie adulte y compris cœlioscopie : 111,"Chirurgies main, poignet : 384",Cataractes : 162,"Arthroscopies, Biopsies ostéo-articulaires : 167",Chirurgies majeures orthopédiques (dont hanche et fémur : 191,Ablations matériel : 129,affections médicales du nouveau né : 690,Endoscopies digestives avec ou sans anesthésie : 396,Autres gastroentérites et maladies diverses du tube dige : 235,Infections respiratoires : 231,Signes et symptômes : 271,,,,,,"       47,73","       25,81","         9,4","         4,1","        3,32",         456,"        58,3","      329,88","        1,55","       25,78","       40,49","         3,6",,"        -0,4",,,,,,"        69,4",,"         3,1",,"        79,1",,"        31,1",,"         7,6",,          18,,"       261,8",,"        58,2",,"       1,046","       0,921","        0,98","        26,7","         9,3","        21,8","        20,5",                                      .c,,      187198,"       16,86","       55,03","       45,67","       79,16","        70,1",,"         9,9",82,73 - [69 - 76],30% - [20% - 40%],39% - [28% - 49%],15% - [7% - 23%],85 - [81 - 89],N. Conc.,A,,,,          35,"     17135,1","     59424,6","        31,9","         1,7",           5,"         6,8","         1,2",           0
010780054,CH BOURG EN BRESSE,DGF,TAA,CH,T3,M4,C3,O4,"        12,1","        1,46","        9,97",                                      .z,                                      .z,"        43,4","        76,8","       100,5","        51,6",         294,          12,          10,          12,          29,          78,          15,          64,           4,       14875,        4772,        2506,        4994,        2256,         718,        4954,       18169,        8144,        1517,        2149,        6291,"     23945,5",        3778,         141,           1,           1,,           1,,           9,           2,    22395476,,   149709095,,   103006044,,     9011332,,      740081,,      399350,,     4151839,,   139034503,,   112155180,,     1554012,,     1294591,,    10303711,,   157831092,,     3772492,,    61157659,,    16484699,,    44672960,,           1,,Chirurgie du sein : 142,Cataracte : 20,Arthroscopie du genou : 216,Hernie enfant : 4,RTU prostate : 130,Hernie adulte y compris cœlioscopie : 203,Chirurgies majeures orthopédiques (dont hanche et fémur : 520,"Chirurgies main, poignet : 560","Chirurgies transurétrales, autres : 154",Chirurgies utérus / annexes : 310,Hernies : 269,affections médicales du nouveau né : 2253,Douleurs chroniques : 848,Endoscopies digestives avec ou sans anesthésie : 930,Infections respiratoires : 744,Endoscopies digestives thérapeutiques et anesthésie : sé : 520,,,,,,"      155,62","      106,62","        13,1","         9,8","         9,9","     1754,11","      234,91","     1195,58","        8,88","      103,18","      211,56","         7,1",,"         6,7",,"        94,4",,"         0,4",,"         2,6",,"        12,9",,          74,,"        54,1",,"        43,3",,"       160,6",,"       109,2",,"        47,3",,"       1,006","       1,058","       1,004","        27,9","         8,3","        16,2","        18,3",                                      .c,,      247926,"       17,36","       78,89","        32,1","       61,41","        68,4","         2,7",,94,73 - [68 - 77],49% - [38% - 60%],65% - [55% - 75%],45% - [34% - 56%],75 - [71 - 79],95% - [89% - 100%],C,B,B,A,          42,"     19536,2","    125337,8","        21,3","         2,1","         4,1","         3,8","        12,8",           0
010780062,CH DE BELLEY,DGF,TAA,CH,T2,M2,C2,O2,"        11,9","        0,45","       10,51",                                      .z,                                      .z,"        49,7",          70,"        64,2","        54,8",          73,,           4,,           5,          30,           5,          12,           0,        3396,        1371,         606,         846,         545,         183,         376,           0,           0,          37,         510,        1712,       11089,         812,         107,           1,,,,,           2,           1,     4430317,,    33024245,,    18736480,,     1539719,,           0,,      218100,,     2448420,,    33714938,,    25109698,,    -1823291,,    -2078966,,     -715568,,    14408739,,     1759225,,     3149385,,     1760733,,     1388653,,           1,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 45,Hernie enfant : 3,RTU prostate : 50,Hernie adulte y compris cœlioscopie : 127,Chirurgies majeures orthopédiques (dont hanche et fémur : 172,Hernies : 178,actes ORL et stomato divers : 101,Intervention  peau et tissu sous-cutané : 64,"Chirurgies main, poignet : 102",affections médicales du nouveau né : 513,Infections respiratoires : 185,Endoscopies digestives avec ou sans anesthésie : 217,Symptômes digestifs : 169,Cardiologie autres : 139,,,,,,"        42,4",          24,"         8,7",           3,"         2,7","      473,18","        56,1","      334,35","        2,72","       29,31","        50,7","        -2,1",,"        -2,1",,,,,,"        16,2",,"         1,4",,"        79,5",,"        57,7",,"        19,1",,"        34,1",,"        97,9",,"        58,5",,"       1,032","       0,928","       0,931","        29,4","        12,2","        23,7","        20,2",                                      .c,,      287264,"       13,73","       59,32","       28,44","       64,85","        49,5","         5,3",,83,69 - [66 - 73],18% - [9% - 26%],86% - [79% - 94%],65% - [55% - 75%],66 - [64 - 68],71% - [57% - 85%],C,B,B,B,          39,"     17075,5","     48903,2","        38,2","         1,9","         3,8",,,           0
010780096,CH MONTPENSIER TREVOUX,DGF,TAA,CH,T1,M1,C1,,"        21,7","        0,69","       42,39",                                      .z,                                      .z,           0,"        84,8",,,          59,,,,,,,,,        1381,          53,           0,           5,           0,           0,           0,           0,           0,          33,           0,           0,,          42,          36,,,,,,,,,,    22341285,,     6622448,,      115655,,       16000,,       30515,,     4245723,,    18404825,,     5056112,,     1388014,,      928095,,     3885272,,    39212528,,    10986967,,    10077801,,     1482717,,     8595085,,           1,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Traumatismes du bassin et des membres : 23,Intervention  peau et tissu sous-cutané : 2,"Occlusions, sub-occlusions digestives : 9","Bronchites, bronchiolites et asthme : 7",Ostéomyélites aigües (y compris vertébrales) et arthrite : 3,Infections respiratoires : 228,Soins palliatifs : 157,"Cardiopathies, valvulopathies : 103",Autres affections du système nerveux : 103,"Névroses, psychoses et autres troubles mentaux : 74",,,,,,"       13,95","       12,25",,,,"      195,94","       15,74","      161,63","        3,67","        4,91","        9,99","        17,6",,"        16,7",,"        87,5",,"         2,8",,"        29,6",,"         6,7",,"        76,4",,"        16,3",,"        29,4",,"       199,9",,"       119,1",,"        65,1",,"       0,997","       0,942",,           0,,           1,          18,                                      .c,,,,,           0,,,"         0,1",,79,89 - [87 - 92],85% - [77% - 94%],94% - [88% - 99%],59% - [48% - 70%],N. Conc.,N. Conc.,A,,,B,,,,"        31,9",,,,,"         0,5"
010780195,CLINIQUE CONVERT BOURG-EN-B.,OQN,TAA,CLI,T3,M2,C3,,"        11,6","        0,29","        3,96",                                      .z,                                      .z,"        26,7","       126,8","        45,4",,          32,           6,           5,          10,          11,         132,          21,,,        3284,        4866,           3,        2692,        5343,           0,        2860,           0,           0,         106,           0,        8907,       12934,        3703,          79,           1,           1,,           1,,           8,,,,,    26715633,,    25895867,,      141533,,           0,,       56626,,           0,,    24389980,,                                      .z,,      421383,,                                      .z,,     1851482,,    11841894,,     4246600,,     -470862,,    -1428212,,      957350,,           1,Chirurgie du sein : 69,Cataracte : 1728,Arthroscopie du genou : 376,Hernie enfant : 1,RTU prostate : 216,Hernie adulte y compris cœlioscopie : 201,Cataractes : 1732,actes ORL et stomato divers : 1025,Chirurgies majeures orthopédiques (dont hanche et fémur : 431,"Arthroscopies, Biopsies ostéo-articulaires : 421","Chirurgies main, poignet : 453",Endoscopies digestives avec ou sans anesthésie : 1235,Endoscopies digestives thérapeutiques et anesthésie : sé : 922,Cathéthérismes diagnostiques vasculaires et coronariens : 504,Cathétérismes thérapeutiques vasculaires et coronariens : 560,Cardiologie autres : 137,,,,,,"        38,6","         6,8","        17,4","         9,4",           2,"       233,6","       35,14","      182,72","        0,57","        3,49","       11,68",,"         8,7",,"         6,9",,         100,,"         2,3",,          63,,           8,,"        75,6",,"        31,3",,"       -21,4",,          -7,,"        32,7",,"        57,3","       0,869","       0,958","       1,279",                                      .z,                                      .z,                                      .z,                                      .z,                                      .c,,      382896,,,"       51,99","       76,32","       116,4",,,84,65 - [62 - 69],21% - [12% - 30%],100% - [100% - 100%],85% - [77% - 93%],78 - [75 - 81],50% - [37% - 63%],A,,,,           0,"     76424,6",      125973,"        22,3","         0,2",,                                      .z,                                      .z,                                      .z
010780203,HÔPITAL PRIVÉ D'AMBERIEU,OQN,TAA,CLI,T2,M2,C2,O2,"         4,8","        0,11","        4,85",                                      .z,                                      .z,"        38,8","       122,5","        59,9","        83,8",          20,,           6,,           2,          46,          12,          15,,        2933,        2209,        1106,        2062,        1749,          84,          70,           0,           0,          29,         884,        3496,       13503,        1835,          80,           1,,,,,           5,           1,,,,,,    11504737,,     1102519,,           0,,        8391,,           0,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,           1,Chirurgie du sein : 13,Cataracte : 334,Arthroscopie du genou : 57,Hernie enfant : 3,RTU prostate : 16,Hernie adulte y compris cœlioscopie : 101,actes ORL et stomato divers : 374,Cataractes : 334,"Amygdalectomies, VG, drains transT : 327",Chirurgies rectum/anus (hors résections) : 148,Chirurgies utérus / annexes : 172,affections médicales du nouveau né : 875,Endoscopies digestives avec ou sans anesthésie : 723,Endoscopies digestives thérapeutiques et anesthésie : sé : 406,Explorations et surveillance pour affections endocrinien : 7,Infections respiratoires : 209,,,,,,"        29,1","        12,7","         6,8",           4,           4,"      194,62","       48,86","      132,96","         0,6","        2,93","        9,27",,,,,,,,,,,,,,,,,,,,,,,,,"       0,936","       0,973","       0,937",                                      .z,                                      .z,                                      .z,                                      .z,                                      .c,,      218880,"       17,65","       71,29","       44,18","       68,02","        66,3",,,73,75 - [71 - 78],31% - [21% - 41%],45% - [34% - 56%],55% - [44% - 66%],68 - [66 - 71],N. Conc.,A,,,,          54,"     43336,1","    116394,1","        12,5","         0,7","         3,1",                                      .z,                                      .z,                                      .z
010780294,NEPHROCARE CH BELLEY,OQN,TAA,CLI,T0,,,,,,,                                      .z,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,Chirurgie du sein,Cataracte,Arthroscopie du genou,Hernie enfant,RTU prostate,Hernie adulte y compris cœlioscopie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,                                      .z,                                      .z,                                      .z,                                      .c,,,,,,,,,,,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,,,,,,,,,,,                                      .z,                                      .z,                                      .z
020000022,CH DE GUISE,DGF,TAA,CH,T1,M1,C1,,"         8,9","        2,14","       40,95",                                      .z,                                      .z,"        69,5","        73,6",,,          28,,,,,,,,,         800,          53,           0,         159,          15,           1,           0,           0,           0,           0,           0,           0,,          10,          50,,,,,,,,,,    15306842,,     5087390,,      225049,,       25354,,      113304,,     2756257,,    14434911,,     4612967,,       -4442,,     -270115,,      505849,,    23556661,,     9697165,,     4657876,,     1232344,,     3425532,,           1,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Traumatismes du bassin et des membres : 30,Trauma crâniens : 8,"Occlusions, sub-occlusions digestives : 11",Intervention  peau et tissu sous-cutané : 8,"Bronchites, bronchiolites et asthme : 7","Cardiopathies, valvulopathies : 30",Infections respiratoires : 87,Signes et symptômes : 42,Maladies osseuses et arthropathies : 27,Cardiologie autres : 30,,,,,,           5,"         4,9",,,,"      179,91","       20,98","      132,79","        1,86","        4,42","       19,86","         5,7",,           3,,"       -20,9",,"        19,2",,"        43,9",,"         2,4",,"        74,7",,"        20,1",,"        31,2",,"       117,8",,"       110,2",,          46,,"       0,889","       0,835",,"        30,9","        11,9","         4,5","        21,1",                                      .c,,,,,"       22,06",,,"         4,2",,81,88 - [85 - 91],73% - [63% - 82%],93% - [87% - 98%],74% - [64% - 83%],N. Conc.,N. Conc.,A,,,,,,,"        34,5",,,,,           0
