finess,zone,A1,A2,A3,A4,A5,A6
010007300,010007300,"        15,6",,,"         7,4","        11,3",
010008407,010007300,"         1,2","         2,1","         0,7","         7,4","        11,3",
010780054,010007300,"         0,5","         0,7","         0,7","         7,4","        11,3",
250000270,010007300,"         1,4","         0,7","         0,7","         7,4","        11,3",
380780080,010007300,"         2,3","         4,5","         0,7","         7,4","        11,3",
390780146,010007300,           2,"         4,5","         0,7","         7,4","        11,3",
390780161,010007300,"         5,6","         4,5","         0,7","         7,4","        11,3",
390780559,010007300,"         1,4","         4,5","         0,7","         7,4","        11,3",
690000880,010007300,           1,"         5,6","         0,7","         7,4","        11,3",
690023411,010007300,"         0,4","         5,6","         0,7","         7,4","        11,3",
690781810,010007300,"         6,8","         1,9","        11,3","         7,4","        11,3",
690782834,010007300,"         0,5","         1,9","        11,3","         7,4","        11,3",
740014345,010007300,"         2,6","        29,6","         5,6","         7,4","        11,3",
740780416,010007300,"         2,8","         7,6","         4,4","         7,4","        11,3",
740780424,010007300,           1,"         4,1","         3,3","         7,4","        11,3",
740781133,010007300,"        54,4",          16,"        43,3","         7,4","        11,3",
740790258,010007300,"         4,9","         4,9","         2,9","         7,4","        11,3",
010007987,010007987,"         0,1",,,,"         0,2",
010008407,010007987,"         2,5","         1,6","         8,5",,"         0,2",
010780054,010007987,"         7,4","        19,9",          30,,"         0,2",
010780062,010007987,"         1,9","        19,9",          30,,"         0,2",
010780195,010007987,"         2,9","        15,8","        12,7",,"         0,2",
010780203,010007987,"         3,2","        15,8","        12,7",,"         0,2",
380780080,010007987,"         3,6","        15,8","        12,7",,"         0,2",
690000880,010007987,"         7,3","        15,8","        12,7",,"         0,2",
690023239,010007987,"         2,8","        15,8","        12,7",,"         0,2",
690023411,010007987,"         1,7","         2,9","        12,7",,"         0,2",
690780366,010007987,"         1,1","         2,9","        12,7",,"         0,2",
690780648,010007987,"         2,2","         2,9","        12,7",,"         0,2",
690781810,010007987,"         9,7","        10,5","        23,4",,"         0,2",
690782222,010007987,"        21,2","        10,5","        23,4",,"         0,2",
690782834,010007987,"         0,9","        10,5","        23,4",,"         0,2",
690793468,010007987,"         1,1","         0,9","        23,4",,"         0,2",
690807367,010007987,"        13,9","         0,9","        23,4",,"         0,2",
730000015,010007987,"         7,3","         1,1","        23,4",,"         0,2",
730004298,010007987,"         2,1","         1,1","        23,4",,"         0,2",
740001839,010007987,"         3,7","         1,1","        23,4",,"         0,2",
740781133,010007987,"        10,1","         1,1","        23,4",,"         0,2",
740790258,010007987,"         5,6","         1,1","        23,4",,"         0,2",
740790381,010007987,           6,"         1,1","        23,4",,"         0,2",
010007987,010008407,"         0,2","         1,1","        23,4",,"         0,2",
010008407,010008407,"        58,2","        38,9","        81,2","        40,3",          32,
010780054,010008407,"        11,7","         7,5","        10,6","         5,8","        20,9",
010780195,010008407,"         7,9","        15,1",          26,"         9,8","        20,9",
010780203,010008407,"         0,9","         1,8","         0,3",           3,"        20,9",
250000015,010008407,"         0,7","         1,8","         0,3",           3,"        20,9",
260000047,010008407,,"         1,8","         0,3",           3,"        20,9",
390780146,010008407,"         0,5","         0,9","         0,5",           3,"        20,9",
390780161,010008407,"         2,2","         1,4","         1,8","         1,8","        20,9",
690000880,010008407,"         1,2","         6,6","         1,8","         1,8","        20,9",
690022959,010008407,"         0,2","         6,6","         1,8","         1,8","        20,9",
690023239,010008407,"         5,4","         3,2","         1,8","         1,8","        20,9",
690023411,010008407,"         1,1","         1,7","         1,6","         2,8","        20,9",
690780259,010008407,"         1,1","         1,3","         1,6","         2,8","        20,9",
690780390,010008407,"         0,4","         1,3","         1,6","         2,8","        20,9",
690780648,010008407,"         0,4",           2,           1,"         2,8","        20,9",
690781810,010008407,"        11,9",          10,"         2,9","         4,6","        18,6",
690782834,010008407,"         0,8","         1,9","         0,1","         1,1","        18,6",
690793468,010008407,"         0,4","         2,7","         1,8","         1,1","        18,6",
730000015,010008407,"         0,2","         2,7","         1,8","         1,1","        18,6",
