finess,rs,champ_pmsi,taa,cat,taille_MCO,taille_M,taille_C,taille_O,A7,A8,A9,A10,A11,A12,A13,A14,A15,F1_D,F1_O,F2_D,F2_O,F3_D,F3_O,F4_D,F4_O,F5_D,F5_O,F6_D,F6_O,F7_D,F7_O,F8_D,F8_O,F9_D,F9_O,F10_D,F10_O,F11_D,F11_O,F12_D,F12_O,P1,P2,P3,P4,P5,P6,P7,P8,P8new,P9,P10,P11,P12,P13,P14,P15,P16,RH1,RH2,RH3,RH4,RH5,RH6,RH8,RH9,RH10,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,CI_AC1,CI_AC2,CI_AC3,CI_AC4,CI_AC5,CI_AC6,CI_AC7,CI_AC8,CI_AC9,CI_A1,CI_A2,CI_A3,CI_A4,CI_A5,CI_A6,CI_A7,CI_A8,CI_A9,CI_A10,CI_A11,CI_A12,CI_A13,CI_A14,CI_A15,CI_A16_1,CI_A16_2,CI_A16_3,CI_A16_4,CI_A16_5,CI_A16_6,CI_A17_1,CI_A17_2,CI_A17_3,CI_A17_4,CI_A17_5,CI_A18_1,CI_A18_2,CI_A18_3,CI_A18_4,CI_A18_5,CI_E1,CI_E2,CI_E3,CI_E4,CI_E4_V2,CI_E5,CI_E6,CI_E7,CI_E7_V2,CI_F1_D,CI_F1_O,CI_F2_D,CI_F2_O,CI_F3_D,CI_F3_O,CI_F4_D,CI_F4_O,CI_F5_D,CI_F5_O,CI_F6_D,CI_F6_O,CI_F7_D,CI_F7_O,CI_F8_D,CI_F8_O,CI_F9_D,CI_F9_O,CI_F10_D,CI_F10_O,CI_F11_D,CI_F11_O,CI_F12_D,CI_F12_O,CI_F13_D,CI_F13_O,CI_F14_D,CI_F14_O,CI_F15_D,CI_F15_O,CI_F16_D,CI_F16_O,CI_F17_D,CI_F17_O,CI_RH1,CI_RH2,CI_RH3,CI_RH4,CI_RH5,CI_RH6,CI_RH7,CI_RH8,CI_RH9,CI_RH10,CI_RH11,CI_DF1,CI_DF2,CI_DF3,CI_DF4,CI_DF5
010007300,CLINIQUE AMBULATOIRE CENDANEG,OQN,TAA,CLI,T1,M1,C1,,                                      .c,           0,           0,                                      .z,                                      .z,,,,,,"        12,5",,"        11,9",,         100,,           2,,          49,,,,"        57,9",,,,"       -21,7",,"        31,3",,"         6,7",,"        14,7",,,,                                      .z,                                      .z,                                      .z,                                      .z,,,        3069,,,         100,         100,"         6,1",,,,"      1388,6",       10485,,,,                                      .z,                                      .z,                                      .z,79,N. Conc.,N. Conc.,N. Conc.,N. Conc.,71 ± 2,,,,,,,,,,,,           2,,,           0,           0,           0,        1318,          27,           0,           0,           0,           0,           0,           0,          27,,        1318,           3,Chirurgie du sein : 0,Cataracte : 27,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Endoscopies digestives avec ou sans anesthésie : 929,Endoscopies digestives thérapeutiques et anesthésie : sé : 372,"Autres séj. sans acte, avec anesthésie, en ambulatoire : 7",Explorations et surveillance pour affections myéloprolif : 4,"Autres Maladies immunitaires, du Sang, des Organes hémat : 0",Cataractes : 27,Greffes peau / parages hors brûlures : 0,Chirurgie inter spécialités : 0,Autres chirurgies ophtalmo : 0,Chirurgies ophtalmo lourdes : 0,,,,,,           2,,,,,      538682,,      284317,,           0,,           0,,           0,,,,      471486,,                                      .z,,       10674,,                                      .z,,       64029,,      344030,,      126630,,       40375,,      -28048,,       68422,,"      0,9808","         2,2","         0,4","         0,4","         1,4",,"        4,12","        1,85","        2,27",,,,,,,,
010007987,CH HAUTEVILLE-LOMPNES,DGF,TAA,CH,T1,M1,C0,,                                      .c,"        1,52","       14,65",                                      .z,                                      .z,           0,"        67,4",,,"        11,7",,"        10,8",,"        81,5",,           2,,"        20,4",,"         1,8",,"        82,5",,"        41,6",,"         9,7",,         105,,"        55,1",,"        59,2",,"       1,405",,,,"         2,6","         6,7","        37,1",,,,,,,,,,           0,,,,"        14,5",,,,,           0,66,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,,,,,,           9,,,,,,,,,         197,           0,           0,           1,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          13,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Toxicomanies et alcoolisme : 0,Soins palliatifs : 31,Signes et symptômes : 47,Explorations nocturnes et apparentées : 39,Prise en charge médicale des tumeurs de l'appareil muscu : 0,"Bronchites, bronchiolites et asthme : 0",,,,,,,,,,,,,,    29100140,,     1102719,,      239778,,           0,,      221812,,    20574885,,    25702153,,      311245,,     1322576,,     1143072,,     3223490,,    33285731,,     6469638,,     7396231,,      683210,,     6713021,,"      1,0274",,"        16,1","        13,6",,,,"      481,89","       48,28","      346,69","        4,22","        8,75","       73,95",,,,,
010008407,CH DU HAUT BUGEY,DGF,TAA,CH,T2,M2,C2,O2,                                      .c,"        0,74","        4,14",                                      .z,                                      .z,           0,"        79,9","        80,4",          55,           6,,"         2,4",,"       -53,4",,"        34,2",,"        65,4",,"         2,8",,"        63,4",,"        21,6",,"        40,3",,"        44,3",,"       134,5",,"        49,2",,"       0,986","       0,879","       0,956","        31,1","        13,1",          15,"        17,5",     1003562,,      199570,"       21,69","       44,27","       44,44","        74,3","        67,8",          20,,          35,"     22512,7","     64893,2","        22,5","         1,1","         3,8",,,           0,84,70 ± 4,31% ± 10%,49% ± 11%,6% ± 5%,48 ± 3,,,,,,          69,,           6,,           7,          26,           8,          21,,        4443,        1493,         942,        1286,        1194,         267,           0,           0,           0,         105,         747,        2664,       15172,        1079,          97,Chirurgie du sein : 1,Cataracte : 144,Arthroscopie du genou : 171,Hernie enfant : 1,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 87,affections médicales du nouveau né : 752,Autres gastroentérites et maladies diverses du tube dige : 251,Endoscopies digestives avec ou sans anesthésie : 353,"Infections reins et voies urinaires, lithiases : 159",Cardiologie autres : 182,"Chirurgies main, poignet : 384",Cataractes : 146,Chirurgies majeures orthopédiques (dont hanche et fémur : 191,"Arthroscopies, Biopsies ostéo-articulaires : 164",Chirurgie du membre supérieur (hors prothèses) : 98,           1,,,,,           4,           1,     6974755,,    43978546,,    23724134,,     3426174,,           0,,     1967300,,     2769129,,    41341371,,    32183966,,     -888757,,    -1178883,,     1189656,,    67473827,,    40655309,,     5014375,,     4563850,,      450525,,"      0,9841",,"       49,57","       26,67","        9,03","        4,43","         4,4","      580,71","       53,34","      450,11",           3,"       25,53","       48,73",,,,,
010780054,CH BOURG EN BRESSE,DGF,TAA,CH,T3,M4,C3,O4,                                      .c,"        1,81","        8,41",                                      .z,                                      .z,"        43,8","        77,9","        91,4",          52,"        15,3",,"        14,5",,"        82,7",,"         0,3",,"         5,2",,           6,,"        71,6",,"        47,7",,"        42,4",,"       128,4",,"       115,4",,"        31,2",,"       1,058","       1,065","       1,039","        24,2","         7,5","        16,4","        18,8",      779569,,      218784,"        18,5","       76,52","       22,23","       43,84","        41,3","         3,4",,          38,"     16645,3","    124590,9","        13,6",           2,"         5,7",,,           0,93,72 ± 4,26% ± 10%,76% ± 9%,25% ± 9%,68 ± 4,,,,,,         281,           9,           6,          12,          29,          98,          15,          64,           4,       13470,        4766,        2393,        4190,        1360,         797,        4151,       18430,        5618,        1545,        2022,        5675,"     23241,5",        2973,         140,Chirurgie du sein : 139,Cataracte : 0,Arthroscopie du genou : 194,Hernie enfant : 2,RTU prostate : 99,Hernie adulte y compris cœlioscopie : 200,affections médicales du nouveau né : 2118,Endoscopies digestives avec ou sans anesthésie : 574,Douleurs chroniques : 175,Infections respiratoires : 675,Cardiologie autres : 468,"Chirurgies main, poignet : 384",Chirurgies majeures orthopédiques (dont hanche et fémur : 444,Chirurgies utérus / annexes : 343,Intervention  peau et tissu sous-cutané : 114,Hernies : 280,           1,           1,,,,           9,           2,    23776845,,   142943812,,   104374312,,    20297532,,           0,,    12428089,,     3481533,,   121100136,,    97000909,,     4544387,,     3686459,,    21416857,,   118045573,,     5700125,,    42606994,,    14074451,,    28532543,,"      0,9843",,"      144,81","       98,61","        11,7","        10,4","         7,9","     1768,67","      240,57","     1231,09","       10,07","       95,79","      191,15",,,,,
010780062,CH DE BELLEY,DGF,TAA,CH,T2,M2,C2,O2,                                      .c,"        0,86","        7,32",                                      .z,                                      .z,"        38,1",          60,"        65,2","        61,6","         0,2",,"         0,2",,"      -327,8",,"        34,3",,"        23,1",,"         1,6",,"        70,8",,"        50,5",,"        21,6",,"        20,4",,         111,,"        89,5",,"         1,1","       1,009","       0,949","        31,4","        10,7","        21,4","        19,7",      403234,,      209262,"        14,2","       60,93","       21,71","       48,43",,"         1,1",,          37,"     15658,1","     76014,6","        27,2","         1,1","         2,4",,,           0,82,62 ± 3,9% ± 6%,39% ± 11%,28% ± 10%,78 ± 4,,,,,,         103,,           4,,           5,          37,,          12,,        4077,        1637,         635,         984,         454,         184,         427,           1,           0,          38,         528,        1872,       11277,        1188,         113,Chirurgie du sein : 5,Cataracte : 0,Arthroscopie du genou : 63,Hernie enfant : 1,RTU prostate : 47,Hernie adulte y compris cœlioscopie : 110,affections médicales du nouveau né : 530,Endoscopies digestives avec ou sans anesthésie : 287,"Névroses, psychoses et autres troubles mentaux : 203",Infections respiratoires : 200,"Bronchites, bronchiolites et asthme : 199",Hernies : 142,Chirurgies majeures orthopédiques (dont hanche et fémur : 173,actes ORL et stomato divers : 79,"Chirurgies main, poignet : 120",Cholécystectomies : 102,           1,,,,,           3,           1,     5242038,,    34357547,,    20514126,,     1970046,,           0,,      469011,,     2196520,,    34305660,,    25843728,,    -1294940,,    -1434087,,       79528,,    17694018,,     2727299,,     1920826,,     2034505,,     -113679,,"      0,9803",,"       42,58","       22,73","         6,1","        4,98","        4,27","       488,2","       54,07","      360,87","        1,86","       29,07","       42,33",,,,,
010780096,CH MONTPENSIER TREVOUX,DGF,TAA,CH,T1,M1,C1,,                                      .c,"        1,46","       34,16",                                      .z,                                      .z,           0,"        86,7",,,"        24,8",,"        22,2",,"        88,1",,           3,,"        42,3",,"         5,9",,"        68,9",,"        17,9",,"        28,9",,"       152,9",,"       134,4",,"       103,3",,"       1,194","       1,145",,"        29,3","         7,9",           1,"        30,5",,,,,,           0,,,"         0,1",,,,,"        25,2",,,,,           0,82,80 ± 4,82% ± 9%,80% ± 9%,24% ± 9%,N. Conc.,,,,,,          31,,,,,,,,,         665,          19,           0,           1,           0,           0,           0,           0,           0,           0,           0,           0,,          27,          26,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Infections respiratoires : 55,Autres affections du système nerveux : 30,Soins palliatifs : 153,"Cardiopathies, valvulopathies : 27","Névroses, psychoses et autres troubles mentaux : 37",Traumatismes du bassin et des membres : 15,"Occlusions, sub-occlusions digestives : 3",Intervention  peau et tissu sous-cutané : 0,Trauma crâniens : 0,"Bronchites, bronchiolites et asthme : 1",,,,,,,,,,    17902852,,     3983879,,      352603,,           0,,      197439,,     3608127,,    13457439,,     2466095,,     1060998,,      715801,,     4088414,,    31154828,,    12409002,,     5635566,,     1067027,,     4568538,,"      0,9598",,"        7,83","        6,83",,,,"      234,59","       19,73","      187,46","        2,36","        4,32","       20,72",,,,,
010780195,CLINIQUE CONVERT BOURG-EN-B.,OQN,TAA,CLI,T3,M2,C3,,                                      .c,"        0,27","        3,34",                                      .z,                                      .z,"        22,2","       110,8","        47,5",,,"         7,3",,"         5,6",,         100,,"         2,7",,"        75,5",,"        14,3",,"        68,2",,"        39,5",,"       -34,4",,"       -30,4",,"        21,7",,"        62,3","       0,856","        0,89","       0,994",                                      .z,                                      .z,                                      .z,                                      .z,,,      327721,,,"       47,28","       68,92",          99,,,           0,"     66187,1","    117529,7","        19,5","         0,2",,                                      .z,                                      .z,                                      .z,84,72 ± 4,14% ± 8%,85% ± 8%,74% ± 10%,79 ± 2,,,,,,          32,,           4,           6,          11,         132,          21,,,        2765,        5102,           6,        2944,        4575,           1,        2501,           0,           0,          85,           0,        8067,       10869,        3727,          82,Chirurgie du sein : 55,Cataracte : 1284,Arthroscopie du genou : 357,Hernie enfant : 2,RTU prostate : 256,Hernie adulte y compris cœlioscopie : 211,Endoscopies digestives avec ou sans anesthésie : 1407,Endoscopies digestives thérapeutiques et anesthésie : sé : 852,Cathétérismes thérapeutiques vasculaires et coronariens : 379,Cathéthérismes diagnostiques vasculaires et coronariens : 327,"Infections reins et voies urinaires, lithiases : 196",Cataractes : 1289,actes ORL et stomato divers : 1207,Chirurgies majeures orthopédiques (dont hanche et fémur : 398,"Amygdalectomies, VG, drains transT : 575","Arthroscopies, Biopsies ostéo-articulaires : 380",,,,,,           8,,,,,    25160331,,    24122743,,       98812,,           0,,       33210,,,,    23327697,,                                      .z,,      729905,,                                      .z,,     1421378,,    10163244,,     3882122,,    -1942544,,    -2195919,,      253375,,"       1,019",          41,          12,          16,"         9,2",           2,"      237,31","       37,88","      186,64",,"        3,89","         8,9",,,,,
010780203,CLINIQUE MUTUALISTE - AMBERIEU-EN-B.,OQN,TAA,CLI,T2,M2,C2,O3,                                      .c,"        0,12","        2,15",                                      .z,                                      .z,"        30,6","       309,5","        50,9","        90,3",,,,,,,,,,,,,,,,,,,,,,,,,"       0,855","       0,869","       0,924",                                      .z,                                      .z,                                      .z,                                      .z,,,      244333,"       19,38","       60,56","       40,95","       62,17","       162,2",,,          64,"     51728,7","     95652,2","        14,8","         1,1","         2,8",                                      .z,                                      .z,                                      .z,73,80 ± 3,36% ± 11%,99% ± 2%,58% ± 11%,56 ± 3,,,,,,           4,,,,           2,          56,           5,          15,,        2771,        2573,        1141,        2400,        1784,          94,          16,           0,           0,           6,         975,        3929,       11285,        1766,          82,Chirurgie du sein : 11,Cataracte : 438,Arthroscopie du genou : 107,Hernie enfant : 1,RTU prostate : 28,Hernie adulte y compris cœlioscopie : 114,affections médicales du nouveau né : 986,Endoscopies digestives avec ou sans anesthésie : 630,Endoscopies digestives thérapeutiques et anesthésie : sé : 365,Explorations et surveillance pour affections endocrinien : 0,Symptômes digestifs : 308,actes ORL et stomato divers : 211,Cataractes : 439,"Amygdalectomies, VG, drains transT : 297","Chirurgies main, poignet : 230",Chirurgies rectum/anus (hors résections) : 179,           1,,,,,           5,           1,     2556404,,,,,    11310233,,     1029854,,           0,,       15200,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,"      1,0027","        32,5","        15,1","         9,3",           3,           4,"      162,47","        35,2","      119,02","         0,5","        2,65","         5,1",,,,,
010780294,CENTRE MÉDICAL DE DIALYSE REGINA,OQN,TAA,CLI,T0,M0,,,                                      .c,,,                                      .z,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,                                      .z,                                      .z,                                      .z,,,,,,,,,,,,,,          11,,,                                      .z,                                      .z,                                      .z,,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein,Cataracte,Arthroscopie du genou,Hernie enfant,RTU prostate,Hernie adulte y compris cœlioscopie,"Autres affections reins, voies urinaires : 0","'Insuffisance rénale, avec dialyse : 0",,,,,,,,,,,,,,,,,,,,,     1965510,,           0,,           0,,           0,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,           1,"         2,8",           2,,,,          14,           2,          12,,,,,,,,
020000022,CH DE GUISE,DGF,TAA,CH,T1,M1,C1,,                                      .c,"        4,63","       26,32",                                      .z,                                      .z,           0,"        77,3",,,"        10,6",,"         6,8",,"        43,9",,"        10,6",,"        48,1",,           2,,"        66,4",,          13,,"        42,4",,"       142,4",,"       115,5",,"        42,4",,"       0,925","       0,903",,"        31,1","        10,1","         3,9","        22,2",,,,           0,           0,"        37,5",,,,"         0,3",,,           0,"        46,1",,,,,           0,75,62 ± 4,74% ± 10%,80% ± 9%,16% ± 8%,N. Conc.,,,,,,          28,,,,,,,,,         903,          25,           0,         134,          15,           2,           0,           0,           0,           0,           2,           0,,          28,          62,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Infections respiratoires : 54,Toxicomanies et alcoolisme : 34,"Névroses, psychoses et autres troubles mentaux : 76",Septicémies : 2,"Cardiopathies, valvulopathies : 21",Traumatismes du bassin et des membres : 22,Trauma crâniens : 0,Intervention  peau et tissu sous-cutané : 8,"Occlusions, sub-occlusions digestives : 2","Bronchites, bronchiolites et asthme : 2",,,,,,,,,,    14812242,,     5541962,,      410267,,           0,,      239359,,     2623417,,    13245539,,     4586048,,      358602,,       42616,,     1090761,,    25214758,,    11533391,,     5165829,,     1539699,,     3626130,,"       1,046",,"         3,9","         3,7","         0,1",,,"      253,12","       22,22","      201,11","         1,5","        5,71","       22,58",,,,,
