finess,rs,champ_pmsi,taa,cat,taille_MCO,taille_M,taille_C,taille_O,A7,A8,A9,A10,A11,A12,A13,A14,A15,CI_AC1,CI_AC2,CI_AC3,CI_AC4,CI_AC5,CI_AC6,CI_AC7,CI_AC8,CI_AC9,CI_A1,CI_A2,CI_A3,CI_A4,CI_A5,CI_A6,CI_A7,CI_A8,CI_A9,CI_A10,CI_A11,CI_A12,CI_A13,CI_A14,CI_A15,CI_E1,CI_E2,CI_E3,CI_E4,CI_E4_V2,CI_E5,CI_E6,CI_E7,CI_E7_V2,CI_F1_D,CI_F1_O,CI_F2_D,CI_F2_O,CI_F3_D,CI_F3_O,CI_F4_D,CI_F4_O,CI_F5_D,CI_F5_O,CI_F6_D,CI_F6_O,CI_F7_D,CI_F7_O,CI_F8_D,CI_F8_O,CI_F9_D,CI_F9_O,CI_F10_D,CI_F10_O,CI_F11_D,CI_F11_O,CI_F12_D,CI_F12_O,CI_F13_D,CI_F13_O,CI_F14_D,CI_F14_O,CI_F15_D,CI_F15_O,CI_F16_D,CI_F16_O,CI_F17_D,CI_F17_O,CI_A16_1,CI_A16_2,CI_A16_3,CI_A16_4,CI_A16_5,CI_A16_6,CI_A18_1,CI_A18_2,CI_A18_3,CI_A18_4,CI_A18_5,CI_A17_1,CI_A17_2,CI_A17_3,CI_A17_4,CI_A17_5,CI_DF1,CI_DF2,CI_DF3,CI_DF4,CI_DF5,CI_RH1,CI_RH2,CI_RH3,CI_RH4,CI_RH5,CI_RH6,CI_RH7,CI_RH8,CI_RH9,CI_RH10,CI_RH11,F1_D,F1_O,F2_D,F2_O,F3_D,F3_O,F4_D,F4_O,F5_D,F5_O,F6_D,F6_O,F7_D,F7_O,F8_D,F8_O,F9_D,F9_O,F10_D,F10_O,F11_D,F11_O,F12_D,F12_O,P1,P2,P3,P4,P5,P6,P7,P8,P8new,P9,P10,P11,P12,P13,P14,P15,P16,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,RH1,RH2,RH3,RH4,RH5,RH6,RH8,RH9,RH10
010007300,CLINIQUE AMBULATOIRE CENDANEG,OQN,TAA,CLI,T1,M1,C1,,"        11,2",           0,           0,                                      .z,                                      .z,,,,,,,,,,,           2,,,           0,           0,           0,        1481,         431,           0,           0,           0,           0,           0,           0,         432,,        1480,           4,,,,,,           4,,,,,      975802,,      575535,,           0,,           0,,           0,,           0,,      866432,,                                      .z,,       39713,,                                      .z,,      101931,,      455824,,       79640,,      129644,,     -126217,,      255860,,           1,Chirurgie du sein : 1,Cataracte : 310,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Cataractes : 312,Greffes peau / parages hors brûlures : 59,Autres chirurgies ophtalmo : 22,Chirurgie inter spécialités : 27,Chirurgie des tissus mous : 1,Endoscopies digestives avec ou sans anesthésie : 1068,Endoscopies digestives thérapeutiques et anesthésie : sé : 388,"Autres séj. sans acte, avec anesthésie, en ambulatoire : 14",Explorations et surveillance pour affections myéloprolif : 5,"Autres Maladies immunitaires, du Sang, des Organes hémat : 3",,,,,,"         5,5",           2,"         2,5",           1,,"        4,96","        1,92","        3,04",,,,,"        11,2",,"        10,4",,         100,,"         0,8",,"        32,1",,,,"        78,9",,,,"       -53,2",,"        54,6",,"         9,7",,"        43,5",,,,                                      .z,                                      .z,                                      .z,                                      .z,,,       24246,,,         100,         100,          98,,,N. Calc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,65 - [63 - 68],N. Conc.,A,A,,A,,"     19125,3","     27012,4",,"         0,5",,                                      .z,                                      .z,                                      .z
010007987,CH HAUTEVILLE-LOMPNES,DGF,TAA,CH,T1,M1,C0,,"        15,1","        1,01","         9,4",                                      .z,                                      .z,           0,"        76,6",,,          11,,,,,,,,,         295,           2,           0,           1,           0,           0,           0,           0,           0,           0,           0,           0,,           2,           4,,,,,,,,,,    30145338,,     1609706,,      534204,,           0,,      534204,,    19866214,,    27308529,,     1117678,,      756023,,      854823,,     2694974,,    36922245,,     4240668,,    15445484,,     1253551,,    14191934,,           1,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Trauma crâniens : 0,Intervention  peau et tissu sous-cutané : 0,Ostéomyélites aigües (y compris vertébrales) et arthrite : 0,,,Toxicomanies et alcoolisme : 183,Soins palliatifs : 34,Explorations nocturnes et apparentées : 13,Signes et symptômes : 18,"Cardiopathies, valvulopathies : 1",           2,          20,          85,          19,         100,"       16,41","       13,01",           1,,,"      369,14","       37,25","      256,51","        4,78","        8,74","       61,86","         9,4",,"         8,7",,"        82,8",,"         1,6",,"        11,9",,"         1,3",,"        88,1",,"        52,2",,"        16,8",,"       206,4",,"        80,3",,"        77,4",,"       1,082","       1,502",,"         8,1","         2,9","        46,2",          28,,,,,,           0,,,          86,"         0,2",N. Calc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,C,,,A,,,           0,"        19,9",,,"         8,1","        11,2",           3
010008407,CH DU HAUT BUGEY,DGF,TAA,CH,T2,M2,C2,O2,"         6,3","        0,83","        7,38",                                      .z,                                      .z,"        60,6","        74,2","        69,8","        43,2",          76,           0,           6,           0,           7,          26,           7,          21,           1,        4884,        1536,         808,        1097,        1295,         259,          25,           0,           0,         144,         651,        2658,       14702,         882,         106,           1,,,,,           4,           1,,      307323,    47375029,,    24890339,,     3682161,,       72000,,     2385392,,     1688617,,    44479236,,    32944259,,    -1740324,,    -2342721,,     1616108,,    58664291,,    34475060,,     3010732,,      844742,,     2165990,,           1,,Chirurgie du sein : 1,Cataracte : 200,Arthroscopie du genou : 150,Hernie enfant : 0,RTU prostate : 30,Hernie adulte y compris cœlioscopie : 97,"Chirurgies main, poignet : 369",Cataractes : 200,"Arthroscopies, Biopsies ostéo-articulaires : 148",Chirurgies majeures orthopédiques (dont hanche et fémur : 159,Ablations matériel : 116,affections médicales du nouveau né : 649,Endoscopies digestives avec ou sans anesthésie : 276,Autres gastroentérites et maladies diverses du tube dige : 294,Infections respiratoires : 245,Signes et symptômes : 234,          80,          75,          60,         108,         100,"       47,86","       26,46","        9,58","        3,55","        3,41","      449,91","       60,25","      319,18","        1,95","       27,66","       40,87","         6,1",,"         3,1",,"         1,7",,"        21,3",,"        68,7",,"         1,9",,          81,,"        34,8",,"         6,9",,"        24,7",,"       129,9",,"        55,9",,"       0,932","       0,904","       0,952","        26,4","        10,1","        22,3","        18,6",,       36113,      183205,"        19,2","       62,17","       45,74","        80,9","        84,1",          77,"         6,5",N. Calc.,78 - [75 - 82],39% - [28% - 50%],88% - [78% - 94%],54% - [42% - 65%],90 - [87 - 92],N. Conc.,D,A,C,B,          32,"     17569,1","     57330,3","        23,1","         1,9","         5,1",,,           0
010780054,CH BOURG EN BRESSE,DGF,TAA,CH,T3,M4,C3,O4,"        11,7","        1,53","       10,71",                                      .z,                                      .z,"        44,9",          74,"       102,2","        54,7",         292,          12,          10,          12,          29,          78,          15,          64,           4,       15350,        4772,        2548,        5216,        2484,         701,        4787,       17884,        8541,        1584,        2192,        6585,       25047,        3678,         139,           1,           2,,,           2,           9,           2,,      956811,   152667239,,   103139342,,     7413640,,      824793,,      405992,,     4728583,,   142023340,,   115183952,,     1296780,,     1012099,,    10709295,,   165877108,,     3242771,,    59419140,,    13748453,,    45670686,,           1,,Chirurgie du sein : 142,Cataracte : 191,Arthroscopie du genou : 234,Hernie enfant : 1,RTU prostate : 91,Hernie adulte y compris cœlioscopie : 221,Chirurgies majeures orthopédiques (dont hanche et fémur : 540,"Chirurgies main, poignet : 571","Chirurgies transurétrales, autres : 147",Chirurgies utérus / annexes : 353,Hernies : 299,affections médicales du nouveau né : 2294,Douleurs chroniques : 980,Endoscopies digestives avec ou sans anesthésie : 993,Infections respiratoires : 684,Endoscopies digestives thérapeutiques et anesthésie : sé : 538,          80,           0,          20,          50,          33,"      159,82","      108,36","       13,74","       11,62","        8,91","     1720,52","      234,32","     1162,76","        9,98","      103,91","      209,55",           7,,"         6,7",,"        95,1",,"         0,3",,"         2,1",,"        10,6",,"        75,4",,"        48,3",,"        35,3",,"       152,7",,"        94,2",,"        49,5",,"       0,975","        1,02","       0,994","        28,5","         9,1","        16,9","        16,7",,       33085,      260335,"       17,61","       80,18","       34,23","       66,29","        75,3","         5,3",          67,N. Calc.,77 - [73 - 80],36% - [26% - 48%],89% - [80% - 95%],76% - [65% - 85%],86 - [84 - 89],98% - [91% - 99%],B,C,B,A,          44,"     18830,6","    125504,4","        23,4","         1,8","         4,6","         6,6","         0,8",           3
010780062,CH DE BELLEY,DGF,TAA,CH,T2,M2,C2,O2,"         9,6","        0,65","       15,09",                                      .z,                                      .z,          53,"        67,1","        88,9","        56,2",          75,,           4,,           5,          20,           5,          12,           0,        3501,        1191,         605,         869,         695,         215,         406,           0,           0,          26,         506,        1653,       11473,         784,         102,           1,,,,,           2,           1,,      219995,    36329065,,    21515975,,     3436366,,           0,,     2300000,,     2473558,,    33926169,,    24917518,,     -560620,,     -942158,,     2292575,,    17608532,,     1560475,,     4970864,,     2620479,,     2350385,,           1,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 67,Hernie enfant : 4,RTU prostate : 36,Hernie adulte y compris cœlioscopie : 115,Chirurgies majeures orthopédiques (dont hanche et fémur : 166,Hernies : 176,actes ORL et stomato divers : 124,Intervention  peau et tissu sous-cutané : 79,"Chirurgies main, poignet : 120",affections médicales du nouveau né : 509,Infections respiratoires : 199,Endoscopies digestives avec ou sans anesthésie : 232,Symptômes digestifs : 171,Cardiologie autres : 167,,,,,,,,,,,,,,,,,"         6,6",,"         6,2",,"        91,5",,"         0,7",,"        13,2",,"         1,3",,          82,,"        60,1",,"        28,2",,"        53,5",,"        93,7",,"        74,2",,"       0,912","       0,861","       0,947","        25,4",          11,"        21,7","        19,5",,,      288212,"        16,8","       61,52","       36,85","       78,12","        63,2","         6,5",          67,N. Calc.,81 - [76 - 86],39% - [28% - 50%],94% - [86% - 98%],81% - [71% - 89%],80 - [77 - 83],73% - [54% - 87%],C,B,B,B,,,,,,,,,           0
010780096,CH MONTPENSIER TREVOUX,DGF,TAA,CH,T1,M1,C1,,"        21,9","        0,76","       45,06",                                      .z,                                      .z,           0,"        84,9",,,          59,,,,,,,,,        1636,          73,           0,          11,           0,           0,           0,           0,           0,          16,           0,           0,,          56,          38,,,,,,,,,,    23149506,,     7574348,,       28220,,       22557,,        5663,,     4282553,,    19209822,,     6044925,,     1752245,,     1514728,,     3577246,,    42467567,,    10483780,,    10336314,,     1773126,,     8563188,,           1,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Traumatismes du bassin et des membres : 42,Intervention  peau et tissu sous-cutané : 6,"Occlusions, sub-occlusions digestives : 13","Bronchites, bronchiolites et asthme : 3",Ostéomyélites aigües (y compris vertébrales) et arthrite : 1,Infections respiratoires : 237,Soins palliatifs : 147,"Cardiopathies, valvulopathies : 112",Autres affections du système nerveux : 193,"Névroses, psychoses et autres troubles mentaux : 97",,,,,,"       13,52","       11,44",,,,"      206,26","       18,19","      170,91","        3,25","        4,81","         9,1",          17,,"        15,1",,"        86,2",,"         2,9",,"        26,8",,"        12,3",,"        79,2",,"        18,7",,"        33,7",,"       196,4",,"       134,7",,          68,,"       1,028","       0,927",,"        35,5","         8,2","         1,2","        19,4",,,,,,           0,,,"        -0,2",          67,N. Calc.,90 - [87 - 93],79% - [68% - 87%],94% - [86% - 98%],80% - [70% - 88%],N. Conc.,N. Conc.,A,,,B,,,,"        33,1",,,"         6,9","        69,5",           0
010780195,CLINIQUE CONVERT BOURG-EN-B.,OQN,TAA,CLI,T3,M2,C3,,"        11,4","        0,34","        3,95",                                      .z,                                      .z,"        27,3","       130,7","        46,2",,          32,           6,           5,          10,,         132,          21,,,        3285,        4844,           4,        3150,        5402,           4,        2721,           0,           0,         136,           0,        8892,       13057,        3856,          80,           1,           1,,,           1,           8,,,,,    28026295,,    27234666,,       64666,,           0,,       36000,,           0,,    24615815,,                                      .z,,      976626,,                                      .z,,     2679764,,    12451731,,     3441347,,     -600653,,    -1805986,,     1205332,,           1,Chirurgie du sein : 70,Cataracte : 1656,Arthroscopie du genou : 325,Hernie enfant : 0,RTU prostate : 237,Hernie adulte y compris cœlioscopie : 216,Cataractes : 1660,actes ORL et stomato divers : 1058,Chirurgies majeures orthopédiques (dont hanche et fémur : 485,"Arthroscopies, Biopsies ostéo-articulaires : 450","Chirurgies main, poignet : 401",Endoscopies digestives avec ou sans anesthésie : 1296,Endoscopies digestives thérapeutiques et anesthésie : sé : 981,Cathéthérismes diagnostiques vasculaires et coronariens : 573,Cathétérismes thérapeutiques vasculaires et coronariens : 587,Cardiologie autres : 202,,,,,,"        55,2",          22,          17,          12,           2,"      242,23","       34,48","      189,94","        0,58","        4,27","       12,96",,"        12,2",,"         9,6",,         100,,"         1,3",,"        49,2",,,,"        75,8",,"        36,1",,"       -26,8",,"        -8,9",,"        31,2",,"        64,7","       0,931","       0,955","       1,208",                                      .z,                                      .z,                                      .z,                                      .z,,,      394326,,,"       52,48","       78,19","       118,2",,          67,N. Calc.,81 - [78 - 85],43% - [31% - 54%],98% - [91% - 99%],54% - [42% - 65%],75 - [71 - 78],52% - [38% - 65%],C,B,A,A,           0,"     62390,5","    134184,9","        23,5","         0,2",,                                      .z,                                      .z,                                      .z
010780203,HÔPITAL PRIVÉ D'AMBERIEU,OQN,TAA,CLI,T2,M2,C2,O2,"         4,5","        0,13","        4,49",                                      .z,                                      .z,"        36,5","       114,2","        57,7","        83,6",          20,,           6,,           2,          46,          12,          15,,        3220,        2285,        1122,        1803,        2214,         127,          55,           0,           0,          30,         948,        3899,       16316,        1857,          80,,,,,,           5,           1,,,,,,    12414826,,     1105871,,           0,,       22339,,           0,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,           1,Chirurgie du sein : 15,Cataracte : 301,Arthroscopie du genou : 54,Hernie enfant : 2,RTU prostate : 18,Hernie adulte y compris cœlioscopie : 116,actes ORL et stomato divers : 552,Cataractes : 301,"Amygdalectomies, VG, drains transT : 293",Chirurgies rectum/anus (hors résections) : 225,Chirurgies utérus / annexes : 216,affections médicales du nouveau né : 934,Endoscopies digestives avec ou sans anesthésie : 717,Endoscopies digestives thérapeutiques et anesthésie : sé : 350,Explorations et surveillance pour affections endocrinien : 236,Infections respiratoires : 168,,,,,,"       35,82",          17,"         9,5",           3,           4,"      218,32","       53,99","       149,9","        0,58","        3,22","       10,63",,,,,,,,,,,,,,,,,,,,,,,,,"       0,882","       0,891","       0,919",                                      .z,                                      .z,                                      .z,                                      .z,,,      238456,"       21,31","       72,39","       49,21","       73,26","        83,9",,          67,N. Calc.,87 - [84 - 89],63% - [51% - 73%],61% - [50% - 72%],75% - [64% - 84%],84 - [81 - 87],45% - [24% - 68%],A,,,,          57,"     52565,7","     90699,2","        19,1","         1,1","         3,2",                                      .z,                                      .z,                                      .z
010780294,NEPHROCARE CH BELLEY,OQN,TAA,CLI,T0,,,,           0,           0,           0,                                      .z,                                      .z,           0,,,,,,,,,,,,,           2,           0,           0,           0,           0,           0,           0,           0,        8978,         150,           0,           0,,           0,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"       5,014",,,                                      .z,                                      .z,                                      .z,                                      .z,,,,,,,,,,          67,N. Calc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,C,,,A,,,,,,,                                      .z,                                      .z,                                      .z
020000022,CH DE GUISE,DGF,TAA,CH,T1,M1,C1,,"        13,1","        3,03","       46,43",                                      .z,                                      .z,"        53,8","        74,1",,,          28,,,,           0,           0,           0,           0,           0,         877,          51,           0,         175,          19,           0,           0,           0,           0,           0,           0,           0,,           2,          53,,,,,,,           0,,,    16716053,,     5678952,,       68124,,           0,,        6059,,     2765178,,    15680063,,     4852725,,     -144027,,     -274982,,      652989,,    24075796,,     9085502,,     3876667,,     1272337,,     2604330,,           1,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Traumatismes du bassin et des membres : 29,Trauma crâniens : 20,"Occlusions, sub-occlusions digestives : 4",Intervention  peau et tissu sous-cutané : 7,"Bronchites, bronchiolites et asthme : 3","Cardiopathies, valvulopathies : 40",Infections respiratoires : 75,Signes et symptômes : 39,Maladies osseuses et arthropathies : 38,Cardiologie autres : 37,          40,          77,         150,          25,          33,"        5,75","        3,63",,,,"      183,49","       19,79","      136,34","        2,21","        4,42","       20,73","         6,2",,"         3,6",,"         6,3",,"        13,9",,"        42,4",,"         4,9",,"        75,4",,"        21,9",,"        29,6",,"        90,2",,"       104,4",,"        56,5",,"       0,751","       0,669",,"        29,6","        11,6","         3,9","        20,4",,,,,,"       27,14",,,"         4,7",          85,N. Calc.,83 - [80 - 86],41% - [30% - 53%],91% - [83% - 97%],80% - [70% - 88%],Donnée Manquante,N. Conc.,A,,,,,,,"        35,2",,,"         6,4","         0,6",           0
