finess,zone,A1,A2,A3,A4,A5,A6
010007300,010007300,"        14,8",,,"         6,8",           9,
010008407,010007300,"         0,9","         1,7","         0,1","         6,8",           9,
010780054,010007300,"         0,7",           1,"         0,1","         6,8",           9,
250000270,010007300,"         1,6",           1,"         0,1","         6,8",           9,
380780080,010007300,"         2,9","         7,7","         0,1","         6,8",           9,
390780146,010007300,"         2,1","         7,7","         0,1","         6,8",           9,
390780161,010007300,"         5,6","         7,7","         0,1","         6,8",           9,
390780559,010007300,"         1,9","         7,7","         0,1","         6,8",           9,
690000880,010007300,"         0,8","         5,3","         0,1","         6,8",           9,
690023411,010007300,"         0,4","         5,3","         0,1","         6,8",           9,
690781810,010007300,"         6,4","         2,2","         8,9","         6,8",           9,
690782834,010007300,"         0,4","         2,2","         8,9","         6,8",           9,
740014345,010007300,"         2,9","        26,6","         7,4","         6,8",           9,
740780416,010007300,"         2,8","         9,4",           4,"         6,8",           9,
740780424,010007300,"         0,7","         4,7","         2,6","         6,8",           9,
740781133,010007300,"        56,7","        15,6","        45,2","         6,8",           9,
740790258,010007300,"         4,3","         5,1","         3,3","         6,8",           9,
010007987,010007987,"         0,1",,,,"         0,5",
010008407,010007987,"         2,4","         1,2","         8,7",,"         0,5",
010780054,010007987,"         7,4","        20,2",          26,,"         0,5",
010780062,010007987,"         1,9","        20,2",          26,,"         0,5",
010780195,010007987,"         2,5","        16,4",          14,,"         0,5",
010780203,010007987,"         2,6","        16,4",          14,,"         0,5",
380780080,010007987,"         3,7","        16,4",          14,,"         0,5",
690000880,010007987,"         6,4","        16,4",          14,,"         0,5",
690023239,010007987,"         2,7","        16,4",          14,,"         0,5",
690023411,010007987,"         1,8",           3,          14,,"         0,5",
690780366,010007987,"         1,8",           3,          14,,"         0,5",
690780648,010007987,"         2,5",           3,          14,,"         0,5",
690781810,010007987,          10,"        10,1","        25,4",,"         0,5",
690782222,010007987,"        19,7","        10,1","        25,4",,"         0,5",
690782834,010007987,"         1,1","        10,1","        25,4",,"         0,5",
690793468,010007987,"         1,3","         0,9","        25,4",,"         0,5",
690807367,010007987,"        14,3","         0,9","        25,4",,"         0,5",
730000015,010007987,"         7,3","         0,7","        25,4",,"         0,5",
730004298,010007987,"         1,9","         0,7","        25,4",,"         0,5",
740001839,010007987,"         3,4","         0,7","        25,4",,"         0,5",
740781133,010007987,"        10,5","         0,7","        25,4",,"         0,5",
740790258,010007987,"         5,7","         0,7","        25,4",,"         0,5",
740790381,010007987,"         5,8","         0,7","        25,4",,"         0,5",
010007987,010008407,"         0,8","         0,7","        25,4",,"         0,5",
010008407,010008407,          56,"        37,9","        79,5","        40,1","        29,6",
010780054,010008407,"        11,9","         7,5","        12,9","         5,8","        16,3",
010780195,010008407,"         8,1","        17,1",          28,"        12,7","        16,3",
010780203,010008407,"         1,4","         2,4",           1,"         2,3","        16,3",
250000015,010008407,"         0,7","         2,4",           1,"         2,3","        16,3",
260000047,010008407,,"         2,4",           1,"         2,3","        16,3",
390780146,010008407,,"         1,2","         0,8","         2,3","        16,3",
390780161,010008407,"         1,8",           1,"         2,4","         2,4","        16,3",
690000880,010008407,"         1,7","         8,4","         2,4","         2,4","        16,3",
690022959,010008407,"         0,4","         8,4","         2,4","         2,4","        16,3",
690023239,010008407,"         5,6","         2,2","         2,4","         2,4","        16,3",
690023411,010008407,"         1,2","         2,1","         1,2",           3,"        16,3",
690780259,010008407,"         0,8","         0,8","         1,2",           3,"        16,3",
690780390,010008407,"         0,4","         0,8","         1,2",           3,"        16,3",
690780648,010008407,"         0,3","         1,2","         0,7",           3,"        16,3",
690781810,010008407,"        12,1","        11,1",           3,"         5,1",          17,
690782834,010008407,"         0,9",           2,"         0,1",           1,          17,
690793468,010008407,"         0,4","         2,3","         1,5",           1,          17,
730000015,010008407,"         0,1","         2,3","         1,5",           1,          17,
740014345,010008407,"         0,2","         2,3","         1,5",           1,          17,
740781133,010008407,"         0,7","         0,5",           1,           1,          17,
010008407,010780054,"         0,3","         2,8",           1,           1,          17,
010780054,010780054,"        51,3","        34,1","        72,1","        23,8","        37,8","        41,3"
010780062,010780054,"         0,4","         0,5","        72,1","        23,8","        37,8","        41,3"
010780195,010780054,"        16,4","        30,4",          47,"        20,4","        28,9","        41,3"
010780203,010780054,"         7,2","         3,8","        14,4","         4,5","         3,8","        41,3"
210987731,010780054,"         0,3","         3,8","        14,4","         4,5","         3,8","        41,3"
250000015,010780054,           1,"         3,8","        14,4","         4,5","         3,8","        41,3"
390780146,010780054,           2,"         1,4",           2,"         1,5",           2,"        41,3"
690000880,010780054,"         1,1","         5,6","         7,6","         1,5",           2,"        41,3"
690022959,010780054,"         0,7","         5,6","         7,6","         1,5",           2,"        41,3"
690023239,010780054,"         3,1","         2,3","         7,6","         1,5",           2,"        41,3"
690023411,010780054,"         0,9","         1,6","         1,1","         2,6","         1,9","        41,3"
690780226,010780054,"         0,9","         1,6","         1,1","         2,6","         1,9","        41,3"
690780259,010780054,"         1,1","         1,6","         1,1","         2,6","         1,9","        41,3"
690780358,010780054,"         0,2","         1,6","         1,1","         2,6","         1,9","        41,3"
690780390,010780054,"         0,8","         1,2","         0,7","         1,5","         1,9","        41,3"
690780648,010780054,"         1,6","         1,2","         0,7","         1,5","         1,9","        41,3"
690781810,010780054,"        11,8","         8,8","         3,5","         4,2","        16,4","         7,5"
690782222,010780054,"         0,9","         1,3","         3,5","         4,2","        16,4","         7,5"
690782834,010780054,"         0,5","         1,2","         0,5","         1,5","        16,4","         7,5"
690793468,010780054,"         0,5","         0,7","         0,5","         1,5","        16,4","         7,5"
690807367,010780054,"         0,8","         1,6","         0,5","         1,5","        16,4","         7,5"
710006859,010780054,"         2,1","         2,4","         0,7","         1,5","        16,4","         7,5"
710780263,010780054,"         1,1","         1,1","         1,7","         0,6","         0,6","         7,5"
710780917,010780054,"         3,1","         1,1","         1,7","         0,6","         0,6","         7,5"
710780958,010780054,"         0,2","         1,1","         1,7","         0,6","         0,6","         7,5"
010007987,010780062,"         0,9","         0,6","         1,7","         0,6","         0,6","         7,5"
010008407,010780062,"         0,9","         2,3","         0,7","         0,6","         0,6","         7,5"
010780054,010780062,"         2,4","         1,9","         1,5","         1,7","         2,6","         7,7"
010780062,010780062,          46,"        30,6","        57,4","        23,1","        38,5","        27,3"
010780195,010780062,"         1,6","        30,6","        57,4","        23,1","        38,5","        27,3"
010780203,010780062,"         2,2","         3,6","         4,6","         7,2","         1,7","        27,3"
380780049,010780062,"         4,2","         3,6","         4,6","         7,2","         1,7","        27,3"
380780080,010780062,           2,"         2,6","         1,1","         1,3","         2,2",
380780197,010780062,"         4,1",           2,"         1,1","         1,3","         2,2",
380784751,010780062,           2,           2,"         1,1","         1,3","         2,2",
690000880,010780062,"         0,9","         4,7",           9,"         1,3","         2,2",
690023239,010780062,"         1,5","         4,7",           9,"         1,3","         2,2",
690023411,010780062,"         1,1","         1,7","         2,7","         4,9","         2,2",
690780390,010780062,,"         1,7","         2,7","         4,9","         2,2",
690781810,010780062,"         7,6","         8,1","         0,9","         3,4","        12,6","         9,2"
730000015,010780062,"        19,1","        13,7","        14,6","        13,5","        15,7","        17,5"
730004298,010780062,"         5,2","        15,6","        22,6","         5,7","        12,1","        17,5"
730780459,010780062,"         4,5","         7,5","        22,6","         5,7","        12,1","        17,5"
740014345,010780062,"         0,9","         7,5","        22,6","         5,7","        12,1","        17,5"
740780416,010780062,"         0,8","         0,9","        22,6","         5,7","        12,1","        17,5"
740780424,010780062,"         1,2",           2,"        22,6","         5,7","        12,1","        17,5"
740781133,010780062,"         2,8","         2,4","         3,2","         1,5","         2,9","         4,7"
010780096,010780096,"         5,4","         0,5",,,"         3,8",
690000880,010780096,"         2,1","        10,7",,,"         3,8",
690023239,010780096,"         3,8","        10,7",,,"         3,8",
690023411,010780096,"         0,8","         3,6","         2,7",,"         3,8",
690780358,010780096,"         2,3","         4,6","         2,3",,"         3,8",
690780366,010780096,"         1,3","         4,6","         2,3",,"         3,8",
690780390,010780096,"         5,2","         6,6",           4,,"         3,8",
690780648,010780096,"         3,5","         7,5","         4,7",,"         3,8",
690781810,010780096,"        18,4","        14,5","        24,2",,"         3,8",
690782222,010780096,"        42,6","        23,1","        21,3",,"         3,8",
